draft_pick,name,fiba_world_cup,location
17.0,Brooklyn Nets,1.0,Brooklyn
9.0,Philadelphia 76ers,1.0,Philadelphia
1.0,Dallas Mavericks,1.0,Dallas
0.0,Los Angeles Lakers,1.0,Los Angeles
5.0,Miami Heat,1.0,Miami
7.0,Golden State Warriors,2.0,San Francisco
2.0,Indiana Pacers,1.0,Indianapolis
8.0,Golden State Warriors,1.0,San Francisco
2.0,Phoenix Suns,1.0,Phoenix
0.0,Toronto Raptors,1.0,Toronto
50.0,Golden State Warriors,1.0,San Francisco
57.0,Portland Trail Blazers,1.0,Portland
17.0,Brooklyn Nets,1.0,Brooklyn
9.0,Philadelphia 76ers,1.0,Philadelphia
1.0,Dallas Mavericks,1.0,Dallas
0.0,Los Angeles Lakers,1.0,Los Angeles
5.0,Miami Heat,1.0,Miami
7.0,Golden State Warriors,2.0,San Francisco
2.0,Indiana Pacers,1.0,Indianapolis
8.0,Golden State Warriors,1.0,San Francisco
2.0,Phoenix Suns,1.0,Phoenix
0.0,Toronto Raptors,1.0,Toronto
50.0,Golden State Warriors,1.0,San Francisco
57.0,Portland Trail Blazers,1.0,Portland
17.0,Brooklyn Nets,1.0,Brooklyn
9.0,Philadelphia 76ers,1.0,Philadelphia
1.0,Dallas Mavericks,1.0,Dallas
0.0,Los Angeles Lakers,1.0,Los Angeles
5.0,Miami Heat,1.0,Miami
7.0,Golden State Warriors,2.0,San Francisco
2.0,Indiana Pacers,1.0,Indianapolis
8.0,Golden State Warriors,1.0,San Francisco
2.0,Phoenix Suns,1.0,Phoenix
0.0,Toronto Raptors,1.0,Toronto
50.0,Golden State Warriors,1.0,San Francisco
57.0,Portland Trail Blazers,1.0,Portland
17.0,Brooklyn Nets,1.0,Brooklyn
9.0,Philadelphia 76ers,1.0,Philadelphia
1.0,Dallas Mavericks,1.0,Dallas
0.0,Los Angeles Lakers,1.0,Los Angeles
5.0,Miami Heat,1.0,Miami
7.0,Golden State Warriors,2.0,San Francisco
2.0,Indiana Pacers,1.0,Indianapolis
8.0,Golden State Warriors,1.0,San Francisco
2.0,Phoenix Suns,1.0,Phoenix
0.0,Toronto Raptors,1.0,Toronto
50.0,Golden State Warriors,1.0,San Francisco
57.0,Portland Trail Blazers,1.0,Portland
17.0,Brooklyn Nets,1.0,Brooklyn
9.0,Philadelphia 76ers,1.0,Philadelphia
1.0,Dallas Mavericks,1.0,Dallas
0.0,Los Angeles Lakers,1.0,Los Angeles
5.0,Miami Heat,1.0,Miami
7.0,Golden State Warriors,2.0,San Francisco
2.0,Indiana Pacers,1.0,Indianapolis
8.0,Golden State Warriors,1.0,San Francisco
2.0,Phoenix Suns,1.0,Phoenix
0.0,Toronto Raptors,1.0,Toronto
50.0,Golden State Warriors,1.0,San Francisco
57.0,Portland Trail Blazers,1.0,Portland
17.0,Brooklyn Nets,1.0,Brooklyn
9.0,Philadelphia 76ers,1.0,Philadelphia
1.0,Dallas Mavericks,1.0,Dallas
0.0,Los Angeles Lakers,1.0,Los Angeles
5.0,Miami Heat,1.0,Miami
7.0,Golden State Warriors,2.0,San Francisco
2.0,Indiana Pacers,1.0,Indianapolis
8.0,Golden State Warriors,1.0,San Francisco
2.0,Phoenix Suns,1.0,Phoenix
0.0,Toronto Raptors,1.0,Toronto
50.0,Golden State Warriors,1.0,San Francisco
57.0,Portland Trail Blazers,1.0,Portland
17.0,Brooklyn Nets,1.0,Brooklyn
9.0,Philadelphia 76ers,1.0,Philadelphia
1.0,Dallas Mavericks,1.0,Dallas
0.0,Los Angeles Lakers,1.0,Los Angeles
5.0,Miami Heat,1.0,Miami
7.0,Golden State Warriors,2.0,San Francisco
2.0,Indiana Pacers,1.0,Indianapolis
8.0,Golden State Warriors,1.0,San Francisco
2.0,Phoenix Suns,1.0,Phoenix
0.0,Toronto Raptors,1.0,Toronto
50.0,Golden State Warriors,1.0,San Francisco
57.0,Portland Trail Blazers,1.0,Portland
17.0,Brooklyn Nets,1.0,Brooklyn
9.0,Philadelphia 76ers,1.0,Philadelphia
1.0,Dallas Mavericks,1.0,Dallas
0.0,Los Angeles Lakers,1.0,Los Angeles
5.0,Miami Heat,1.0,Miami
7.0,Golden State Warriors,2.0,San Francisco
2.0,Indiana Pacers,1.0,Indianapolis
8.0,Golden State Warriors,1.0,San Francisco
2.0,Phoenix Suns,1.0,Phoenix
0.0,Toronto Raptors,1.0,Toronto
50.0,Golden State Warriors,1.0,San Francisco
57.0,Portland Trail Blazers,1.0,Portland
17.0,Brooklyn Nets,1.0,Brooklyn
9.0,Philadelphia 76ers,1.0,Philadelphia
1.0,Dallas Mavericks,1.0,Dallas
0.0,Los Angeles Lakers,1.0,Los Angeles
5.0,Miami Heat,1.0,Miami
7.0,Golden State Warriors,2.0,San Francisco
2.0,Indiana Pacers,1.0,Indianapolis
8.0,Golden State Warriors,1.0,San Francisco
2.0,Phoenix Suns,1.0,Phoenix
0.0,Toronto Raptors,1.0,Toronto
50.0,Golden State Warriors,1.0,San Francisco
57.0,Portland Trail Blazers,1.0,Portland
17.0,Brooklyn Nets,1.0,Brooklyn
9.0,Philadelphia 76ers,1.0,Philadelphia
1.0,Dallas Mavericks,1.0,Dallas
0.0,Los Angeles Lakers,1.0,Los Angeles
5.0,Miami Heat,1.0,Miami
7.0,Golden State Warriors,2.0,San Francisco
2.0,Indiana Pacers,1.0,Indianapolis
8.0,Golden State Warriors,1.0,San Francisco
2.0,Phoenix Suns,1.0,Phoenix
0.0,Toronto Raptors,1.0,Toronto
50.0,Golden State Warriors,1.0,San Francisco
57.0,Portland Trail Blazers,1.0,Portland
17.0,Brooklyn Nets,1.0,Brooklyn
9.0,Philadelphia 76ers,1.0,Philadelphia
1.0,Dallas Mavericks,1.0,Dallas
0.0,Los Angeles Lakers,1.0,Los Angeles
5.0,Miami Heat,1.0,Miami
7.0,Golden State Warriors,2.0,San Francisco
