mvp_awards,draft_pick,fiba_world_cup
0,16.0,0.0
0,1.0,0.0
0,20.0,0.0
0,1.0,0.0
0,0.0,0.0
0,35.0,0.0
0,169.0,0.0
0,0.0,0.0
0,5.0,0.0
0,6.0,0.0
0,8.0,0.0
0,19.0,0.0
0,35.0,0.0
0,0.0,0.0
0,,0.0
0,0.0,0.0
0,45.0,0.0
0,29.0,0.0
0,35.0,0.0
0,0.0,0.0
0,21.0,0.0
0,53.0,0.0
0,48.0,0.0
0,0.0,0.0
0,0.0,0.0
0,1.0,0.0
0,8.0,0.0
0,27.0,0.0
0,44.0,0.0
0,5.0,0.0
0,4.0,0.0
0,8.0,0.0
0,8.0,0.0
0,1.0,0.0
0,0.0,0.0
0,10.0,0.0
0,1.0,0.0
0,11.0,0.0
0,10.0,0.0
0,21.0,0.0
0,15.0,0.0
0,0.0,0.0
0,57.0,0.0
0,6.0,0.0
0,2.0,0.0
1,3.0,0.0
0,10.0,0.0
1,3.0,0.0
0,0.0,0.0
0,1.0,0.0
0,,0.0
0,23.0,0.0
1,3.0,0.0
0,1.0,0.0
1,17.0,0.0
2,15.0,0.0
0,3.0,0.0
0,30.0,0.0
0,8.0,0.0
0,8.0,0.0
0,33.0,0.0
0,0.0,0.0
0,45.0,0.0
0,11.0,0.0
0,0.0,0.0
0,26.0,0.0
0,2.0,0.0
0,15.0,0.0
0,0.0,0.0
0,22.0,0.0
0,0.0,0.0
0,50.0,0.0
0,14.0,0.0
3,1.0,0.0
0,0.0,0.0
1,2.0,0.0
0,2.0,0.0
0,6.0,0.0
0,24.0,0.0
0,0.0,0.0
0,1.0,0.0
0,2.0,0.0
2,1.0,0.0
0,14.0,0.0
1,0.0,0.0
0,16.0,0.0
0,13.0,0.0
0,0.0,0.0
0,16.0,0.0
0,1.0,0.0
0,20.0,0.0
0,1.0,0.0
0,0.0,0.0
0,35.0,0.0
0,169.0,0.0
0,0.0,0.0
0,5.0,0.0
0,6.0,0.0
0,8.0,0.0
0,19.0,0.0
0,35.0,0.0
0,0.0,0.0
0,,0.0
0,0.0,0.0
0,45.0,0.0
0,29.0,0.0
0,35.0,0.0
0,0.0,0.0
0,21.0,0.0
0,53.0,0.0
0,48.0,0.0
0,0.0,0.0
0,0.0,0.0
0,1.0,0.0
0,8.0,0.0
0,27.0,0.0
0,44.0,0.0
0,5.0,0.0
0,4.0,0.0
0,8.0,0.0
0,8.0,0.0
0,1.0,0.0
0,0.0,0.0
0,10.0,0.0
0,1.0,0.0
0,11.0,0.0
0,10.0,0.0
0,21.0,0.0
0,15.0,0.0
0,0.0,0.0
0,57.0,0.0
0,6.0,0.0
0,2.0,0.0
1,3.0,0.0
0,10.0,0.0
1,3.0,0.0
0,0.0,0.0
0,1.0,0.0
0,,0.0
0,23.0,0.0
1,3.0,0.0
0,1.0,0.0
1,17.0,0.0
2,15.0,0.0
0,3.0,0.0
0,30.0,0.0
0,8.0,0.0
0,8.0,0.0
0,33.0,0.0
0,0.0,0.0
0,45.0,0.0
0,11.0,0.0
0,0.0,0.0
0,26.0,0.0
0,2.0,0.0
0,15.0,0.0
0,0.0,0.0
0,22.0,0.0
0,0.0,0.0
0,50.0,0.0
0,14.0,0.0
3,1.0,0.0
0,0.0,0.0
1,2.0,0.0
0,2.0,0.0
0,6.0,0.0
0,24.0,0.0
0,0.0,0.0
0,1.0,0.0
0,2.0,0.0
2,1.0,0.0
0,14.0,0.0
1,0.0,0.0
0,16.0,0.0
0,13.0,0.0
0,0.0,0.0
0,16.0,0.0
0,1.0,0.0
0,20.0,0.0
0,1.0,0.0
0,0.0,0.0
0,35.0,0.0
0,169.0,0.0
0,0.0,0.0
0,5.0,0.0
0,6.0,0.0
0,8.0,0.0
0,19.0,0.0
0,35.0,0.0
0,0.0,0.0
0,,0.0
0,0.0,0.0
0,45.0,0.0
0,29.0,0.0
0,35.0,0.0
0,0.0,0.0
0,21.0,0.0
0,53.0,0.0
0,48.0,0.0
0,0.0,0.0
0,0.0,0.0
0,1.0,0.0
0,8.0,0.0
0,27.0,0.0
0,44.0,0.0
0,5.0,0.0
0,4.0,0.0
0,8.0,0.0
0,8.0,0.0
0,1.0,0.0
0,0.0,0.0
0,10.0,0.0
0,1.0,0.0
0,11.0,0.0
0,10.0,0.0
0,21.0,0.0
0,15.0,0.0
0,0.0,0.0
0,57.0,0.0
0,6.0,0.0
0,2.0,0.0
1,3.0,0.0
0,10.0,0.0
1,3.0,0.0
0,0.0,0.0
0,1.0,0.0
0,,0.0
0,23.0,0.0
1,3.0,0.0
0,1.0,0.0
1,17.0,0.0
2,15.0,0.0
0,3.0,0.0
0,30.0,0.0
0,8.0,0.0
0,8.0,0.0
0,33.0,0.0
0,0.0,0.0
0,45.0,0.0
0,11.0,0.0
0,0.0,0.0
0,26.0,0.0
0,2.0,0.0
0,15.0,0.0
0,0.0,0.0
0,22.0,0.0
0,0.0,0.0
0,50.0,0.0
0,14.0,0.0
3,1.0,0.0
0,0.0,0.0
1,2.0,0.0
0,2.0,0.0
0,6.0,0.0
0,24.0,0.0
0,0.0,0.0
0,1.0,0.0
0,2.0,0.0
2,1.0,0.0
0,14.0,0.0
1,0.0,0.0
0,16.0,0.0
0,13.0,0.0
0,0.0,0.0
0,16.0,0.0
0,1.0,0.0
0,20.0,0.0
0,1.0,0.0
0,0.0,0.0
0,35.0,0.0
0,169.0,0.0
0,0.0,0.0
0,5.0,0.0
0,6.0,0.0
0,8.0,0.0
0,19.0,0.0
0,35.0,0.0
0,0.0,0.0
0,,0.0
0,0.0,0.0
0,45.0,0.0
0,29.0,0.0
0,35.0,0.0
0,0.0,0.0
0,21.0,0.0
0,53.0,0.0
0,48.0,0.0
0,0.0,0.0
0,0.0,0.0
0,1.0,0.0
0,8.0,0.0
0,27.0,0.0
0,44.0,0.0
0,5.0,0.0
0,4.0,0.0
0,8.0,0.0
0,8.0,0.0
0,1.0,0.0
0,0.0,0.0
0,10.0,0.0
0,1.0,0.0
0,11.0,0.0
0,10.0,0.0
0,21.0,0.0
0,15.0,0.0
0,0.0,0.0
0,57.0,0.0
0,6.0,0.0
0,2.0,0.0
1,3.0,0.0
0,10.0,0.0
1,3.0,0.0
0,0.0,0.0
0,1.0,0.0
0,,0.0
0,23.0,0.0
1,3.0,0.0
0,1.0,0.0
1,17.0,0.0
2,15.0,0.0
0,3.0,0.0
0,30.0,0.0
0,8.0,0.0
0,8.0,0.0
0,33.0,0.0
0,0.0,0.0
0,45.0,0.0
0,11.0,0.0
0,0.0,0.0
0,26.0,0.0
0,2.0,0.0
0,15.0,0.0
0,0.0,0.0
0,22.0,0.0
0,0.0,0.0
0,50.0,0.0
0,14.0,0.0
3,1.0,0.0
0,0.0,0.0
1,2.0,0.0
0,2.0,0.0
0,6.0,0.0
0,24.0,0.0
0,0.0,0.0
0,1.0,0.0
0,2.0,0.0
2,1.0,0.0
0,14.0,0.0
1,0.0,0.0
0,16.0,0.0
0,13.0,0.0
0,0.0,0.0
0,16.0,0.0
0,1.0,0.0
0,20.0,0.0
0,1.0,0.0
0,0.0,0.0
0,35.0,0.0
0,169.0,0.0
0,0.0,0.0
0,5.0,0.0
0,6.0,0.0
0,8.0,0.0
0,19.0,0.0
0,35.0,0.0
0,0.0,0.0
0,,0.0
0,0.0,0.0
0,45.0,0.0
0,29.0,0.0
0,35.0,0.0
0,0.0,0.0
0,21.0,0.0
0,53.0,0.0
0,48.0,0.0
0,0.0,0.0
0,0.0,0.0
0,1.0,0.0
0,8.0,0.0
0,27.0,0.0
0,44.0,0.0
0,5.0,0.0
0,4.0,0.0
0,8.0,0.0
0,8.0,0.0
0,1.0,0.0
0,0.0,0.0
0,10.0,0.0
0,1.0,0.0
0,11.0,0.0
0,10.0,0.0
0,21.0,0.0
0,15.0,0.0
0,0.0,0.0
0,57.0,0.0
0,6.0,0.0
0,2.0,0.0
1,3.0,0.0
0,10.0,0.0
1,3.0,0.0
0,0.0,0.0
0,1.0,0.0
0,,0.0
0,23.0,0.0
1,3.0,0.0
0,1.0,0.0
1,17.0,0.0
2,15.0,0.0
0,3.0,0.0
0,30.0,0.0
0,8.0,0.0
0,8.0,0.0
0,33.0,0.0
0,0.0,0.0
0,45.0,0.0
0,11.0,0.0
0,0.0,0.0
0,26.0,0.0
0,2.0,0.0
0,15.0,0.0
0,0.0,0.0
0,22.0,0.0
0,0.0,0.0
0,50.0,0.0
0,14.0,0.0
3,1.0,0.0
0,0.0,0.0
1,2.0,0.0
0,2.0,0.0
0,6.0,0.0
0,24.0,0.0
0,0.0,0.0
0,1.0,0.0
0,2.0,0.0
2,1.0,0.0
0,14.0,0.0
1,0.0,0.0
0,16.0,0.0
0,13.0,0.0
0,0.0,0.0
0,16.0,0.0
0,1.0,0.0
0,20.0,0.0
0,1.0,0.0
0,0.0,0.0
0,35.0,0.0
0,169.0,0.0
0,0.0,0.0
0,5.0,0.0
0,6.0,0.0
0,8.0,0.0
0,19.0,0.0
0,35.0,0.0
0,0.0,0.0
0,,0.0
0,0.0,0.0
0,45.0,0.0
0,29.0,0.0
0,35.0,0.0
0,0.0,0.0
0,21.0,0.0
0,53.0,0.0
0,48.0,0.0
0,0.0,0.0
0,0.0,0.0
0,1.0,0.0
0,8.0,0.0
0,27.0,0.0
0,44.0,0.0
0,5.0,0.0
0,4.0,0.0
0,8.0,0.0
0,8.0,0.0
0,1.0,0.0
0,0.0,0.0
0,10.0,0.0
0,1.0,0.0
0,11.0,0.0
0,10.0,0.0
0,21.0,0.0
0,15.0,0.0
0,0.0,0.0
0,57.0,0.0
0,6.0,0.0
0,2.0,0.0
1,3.0,0.0
0,10.0,0.0
1,3.0,0.0
0,0.0,0.0
0,1.0,0.0
0,,0.0
0,23.0,0.0
1,3.0,0.0
0,1.0,0.0
1,17.0,0.0
2,15.0,0.0
0,3.0,0.0
0,30.0,0.0
0,8.0,0.0
0,8.0,0.0
0,33.0,0.0
0,0.0,0.0
0,45.0,0.0
0,11.0,0.0
0,0.0,0.0
0,26.0,0.0
0,2.0,0.0
0,15.0,0.0
0,0.0,0.0
0,22.0,0.0
0,0.0,0.0
0,50.0,0.0
0,14.0,0.0
3,1.0,0.0
0,0.0,0.0
1,2.0,0.0
0,2.0,0.0
0,6.0,0.0
0,24.0,0.0
0,0.0,0.0
0,1.0,0.0
0,2.0,0.0
2,1.0,0.0
0,14.0,0.0
1,0.0,0.0
0,16.0,0.0
0,13.0,0.0
0,0.0,0.0
0,16.0,0.0
0,1.0,0.0
0,20.0,0.0
0,1.0,0.0
0,0.0,0.0
0,35.0,0.0
0,169.0,0.0
0,0.0,0.0
0,5.0,0.0
0,6.0,0.0
0,8.0,0.0
0,19.0,0.0
0,35.0,0.0
0,0.0,0.0
0,,0.0
0,0.0,0.0
0,45.0,0.0
0,29.0,0.0
0,35.0,0.0
0,0.0,0.0
0,21.0,0.0
0,53.0,0.0
0,48.0,0.0
0,0.0,0.0
0,0.0,0.0
0,1.0,0.0
0,8.0,0.0
0,27.0,0.0
0,44.0,0.0
0,5.0,0.0
0,4.0,0.0
0,8.0,0.0
0,8.0,0.0
0,1.0,0.0
0,0.0,0.0
0,10.0,0.0
0,1.0,0.0
0,11.0,0.0
0,10.0,0.0
0,21.0,0.0
0,15.0,0.0
0,0.0,0.0
0,57.0,0.0
0,6.0,0.0
0,2.0,0.0
1,3.0,0.0
0,10.0,0.0
1,3.0,0.0
0,0.0,0.0
0,1.0,0.0
0,,0.0
0,23.0,0.0
1,3.0,0.0
0,1.0,0.0
1,17.0,0.0
2,15.0,0.0
0,3.0,0.0
0,30.0,0.0
0,8.0,0.0
0,8.0,0.0
0,33.0,0.0
0,0.0,0.0
0,45.0,0.0
0,11.0,0.0
0,0.0,0.0
0,26.0,0.0
0,2.0,0.0
0,15.0,0.0
0,0.0,0.0
0,22.0,0.0
0,0.0,0.0
0,50.0,0.0
0,14.0,0.0
3,1.0,0.0
0,0.0,0.0
1,2.0,0.0
0,2.0,0.0
0,6.0,0.0
0,24.0,0.0
0,0.0,0.0
0,1.0,0.0
0,2.0,0.0
2,1.0,0.0
0,14.0,0.0
1,0.0,0.0
0,16.0,0.0
0,13.0,0.0
0,0.0,0.0
0,16.0,0.0
0,1.0,0.0
0,20.0,0.0
0,1.0,0.0
0,0.0,0.0
0,35.0,0.0
0,169.0,0.0
0,0.0,0.0
0,5.0,0.0
0,6.0,0.0
0,8.0,0.0
0,19.0,0.0
0,35.0,0.0
0,0.0,0.0
0,,0.0
0,0.0,0.0
0,45.0,0.0
0,29.0,0.0
0,35.0,0.0
0,0.0,0.0
0,21.0,0.0
0,53.0,0.0
0,48.0,0.0
0,0.0,0.0
0,0.0,0.0
0,1.0,0.0
0,8.0,0.0
0,27.0,0.0
0,44.0,0.0
0,5.0,0.0
0,4.0,0.0
0,8.0,0.0
0,8.0,0.0
0,1.0,0.0
0,0.0,0.0
0,10.0,0.0
0,1.0,0.0
0,11.0,0.0
0,10.0,0.0
0,21.0,0.0
0,15.0,0.0
0,0.0,0.0
0,57.0,0.0
0,6.0,0.0
0,2.0,0.0
1,3.0,0.0
0,10.0,0.0
1,3.0,0.0
0,0.0,0.0
0,1.0,0.0
0,,0.0
0,23.0,0.0
1,3.0,0.0
0,1.0,0.0
1,17.0,0.0
2,15.0,0.0
0,3.0,0.0
0,30.0,0.0
0,8.0,0.0
0,8.0,0.0
0,33.0,0.0
0,0.0,0.0
0,45.0,0.0
0,11.0,0.0
0,0.0,0.0
0,26.0,0.0
0,2.0,0.0
0,15.0,0.0
0,0.0,0.0
0,22.0,0.0
0,0.0,0.0
0,50.0,0.0
0,14.0,0.0
3,1.0,0.0
0,0.0,0.0
1,2.0,0.0
0,2.0,0.0
0,6.0,0.0
0,24.0,0.0
0,0.0,0.0
0,1.0,0.0
0,2.0,0.0
2,1.0,0.0
0,14.0,0.0
1,0.0,0.0
0,16.0,0.0
0,13.0,0.0
0,0.0,0.0
0,16.0,0.0
0,1.0,0.0
0,20.0,0.0
0,1.0,0.0
0,0.0,0.0
0,35.0,0.0
0,169.0,0.0
0,0.0,0.0
0,5.0,0.0
0,6.0,0.0
0,8.0,0.0
0,19.0,0.0
0,35.0,0.0
0,0.0,0.0
0,,0.0
0,0.0,0.0
0,45.0,0.0
0,29.0,0.0
0,35.0,0.0
0,0.0,0.0
0,21.0,0.0
0,53.0,0.0
0,48.0,0.0
0,0.0,0.0
0,0.0,0.0
0,1.0,0.0
0,8.0,0.0
0,27.0,0.0
0,44.0,0.0
0,5.0,0.0
0,4.0,0.0
0,8.0,0.0
0,8.0,0.0
0,1.0,0.0
0,0.0,0.0
0,10.0,0.0
0,1.0,0.0
0,11.0,0.0
0,10.0,0.0
0,21.0,0.0
0,15.0,0.0
0,0.0,0.0
0,57.0,0.0
0,6.0,0.0
0,2.0,0.0
1,3.0,0.0
0,10.0,0.0
1,3.0,0.0
0,0.0,0.0
0,1.0,0.0
0,,0.0
0,23.0,0.0
1,3.0,0.0
0,1.0,0.0
1,17.0,0.0
2,15.0,0.0
0,3.0,0.0
0,30.0,0.0
0,8.0,0.0
0,8.0,0.0
0,33.0,0.0
0,0.0,0.0
0,45.0,0.0
0,11.0,0.0
0,0.0,0.0
0,26.0,0.0
0,2.0,0.0
0,15.0,0.0
0,0.0,0.0
0,22.0,0.0
0,0.0,0.0
0,50.0,0.0
0,14.0,0.0
3,1.0,0.0
0,0.0,0.0
1,2.0,0.0
0,2.0,0.0
0,6.0,0.0
0,24.0,0.0
0,0.0,0.0
0,1.0,0.0
0,2.0,0.0
2,1.0,0.0
0,14.0,0.0
1,0.0,0.0
0,16.0,0.0
0,13.0,0.0
0,0.0,0.0
0,16.0,0.0
0,1.0,0.0
0,20.0,0.0
0,1.0,0.0
0,0.0,0.0
0,35.0,0.0
0,169.0,0.0
0,0.0,0.0
0,5.0,0.0
0,6.0,0.0
0,8.0,0.0
0,19.0,0.0
0,35.0,0.0
0,0.0,0.0
0,,0.0
0,0.0,0.0
0,45.0,0.0
0,29.0,0.0
0,35.0,0.0
0,0.0,0.0
0,21.0,0.0
0,53.0,0.0
0,48.0,0.0
0,0.0,0.0
0,0.0,0.0
0,1.0,0.0
0,8.0,0.0
0,27.0,0.0
0,44.0,0.0
0,5.0,0.0
0,4.0,0.0
0,8.0,0.0
0,8.0,0.0
0,1.0,0.0
0,0.0,0.0
0,10.0,0.0
0,1.0,0.0
0,11.0,0.0
0,10.0,0.0
0,21.0,0.0
0,15.0,0.0
0,0.0,0.0
0,57.0,0.0
0,6.0,0.0
0,2.0,0.0
1,3.0,0.0
0,10.0,0.0
1,3.0,0.0
0,0.0,0.0
0,1.0,0.0
0,,0.0
0,23.0,0.0
1,3.0,0.0
0,1.0,0.0
1,17.0,0.0
2,15.0,0.0
0,3.0,0.0
0,30.0,0.0
0,8.0,0.0
0,8.0,0.0
0,33.0,0.0
0,0.0,0.0
0,45.0,0.0
0,11.0,0.0
0,0.0,0.0
0,26.0,0.0
0,2.0,0.0
0,15.0,0.0
0,0.0,0.0
0,22.0,0.0
0,0.0,0.0
0,50.0,0.0
0,14.0,0.0
3,1.0,0.0
0,0.0,0.0
1,2.0,0.0
0,2.0,0.0
0,6.0,0.0
0,24.0,0.0
0,0.0,0.0
0,1.0,0.0
0,2.0,0.0
2,1.0,0.0
0,14.0,0.0
1,0.0,0.0
0,16.0,0.0
0,13.0,0.0
0,0.0,0.0
0,16.0,0.0
0,1.0,0.0
0,20.0,0.0
0,1.0,0.0
0,0.0,0.0
0,35.0,0.0
0,169.0,0.0
0,0.0,0.0
0,5.0,0.0
0,6.0,0.0
0,8.0,0.0
0,19.0,0.0
0,35.0,0.0
0,0.0,0.0
0,,0.0
0,0.0,0.0
0,45.0,0.0
0,29.0,0.0
0,35.0,0.0
0,0.0,0.0
0,21.0,0.0
0,53.0,0.0
0,48.0,0.0
0,0.0,0.0
0,0.0,0.0
0,1.0,0.0
0,8.0,0.0
0,27.0,0.0
0,44.0,0.0
0,5.0,0.0
0,4.0,0.0
0,8.0,0.0
0,8.0,0.0
0,1.0,0.0
0,0.0,0.0
0,10.0,0.0
0,1.0,0.0
0,11.0,0.0
0,10.0,0.0
0,21.0,0.0
0,15.0,0.0
0,0.0,0.0
0,57.0,0.0
0,6.0,0.0
0,2.0,0.0
1,3.0,0.0
0,10.0,0.0
1,3.0,0.0
0,0.0,0.0
0,1.0,0.0
0,,0.0
0,23.0,0.0
1,3.0,0.0
0,1.0,0.0
1,17.0,0.0
2,15.0,0.0
0,3.0,0.0
0,30.0,0.0
0,8.0,0.0
0,8.0,0.0
0,33.0,0.0
0,0.0,0.0
0,45.0,0.0
0,11.0,0.0
0,0.0,0.0
0,26.0,0.0
0,2.0,0.0
0,15.0,0.0
0,0.0,0.0
0,22.0,0.0
0,0.0,0.0
0,50.0,0.0
0,14.0,0.0
3,1.0,0.0
0,0.0,0.0
1,2.0,0.0
0,2.0,0.0
0,6.0,0.0
0,24.0,0.0
0,0.0,0.0
0,1.0,0.0
0,2.0,0.0
2,1.0,0.0
0,14.0,0.0
1,0.0,0.0
0,16.0,0.0
0,13.0,0.0
0,0.0,0.0
0,16.0,0.0
0,1.0,0.0
0,20.0,0.0
0,1.0,0.0
0,0.0,0.0
0,35.0,0.0
0,169.0,0.0
0,0.0,0.0
0,5.0,0.0
0,6.0,0.0
0,8.0,0.0
0,19.0,0.0
0,35.0,0.0
0,0.0,0.0
0,,0.0
0,0.0,0.0
0,45.0,0.0
0,29.0,0.0
0,35.0,0.0
0,0.0,0.0
0,21.0,0.0
0,53.0,0.0
0,48.0,0.0
0,0.0,0.0
0,0.0,0.0
0,1.0,0.0
0,8.0,0.0
0,27.0,0.0
0,44.0,0.0
0,5.0,0.0
0,4.0,0.0
0,8.0,0.0
0,8.0,0.0
0,1.0,0.0
0,0.0,0.0
0,10.0,0.0
0,1.0,0.0
0,11.0,0.0
0,10.0,0.0
0,21.0,0.0
0,15.0,0.0
0,0.0,0.0
0,57.0,0.0
0,6.0,0.0
0,2.0,0.0
1,3.0,0.0
0,10.0,0.0
1,3.0,0.0
0,0.0,0.0
0,1.0,0.0
0,,0.0
0,23.0,0.0
1,3.0,0.0
0,1.0,0.0
1,17.0,0.0
2,15.0,0.0
0,3.0,0.0
0,30.0,0.0
0,8.0,0.0
0,8.0,0.0
0,33.0,0.0
0,0.0,0.0
