position,nationality,age
Frontcourt,American,76
Frontcourt,Canadian,74
Backcourt,Greek-American,36
Backcourt,,73
Frontcourt,American,53
Frontcourt,American,37
Frontcourt,American,54
,American,50
,American,75
Frontcourt,American,61
Backcourt,American,56
,American,53
,American,59
,American,28
Backcourt,American,37
Frontcourt,Slovenian,41
,American,27
Frontcourt,American,39
Frontcourt,American,60
Frontcourt,American,57
Frontcourt,American,81
Backcourt,American,44
Frontcourt,Croatian,58
,American,66
Frontcourt,Greek,35
,American,66
,American,23
,American,29
Backcourt,American,30
,American,45
,American,37
,American,61
Frontcourt,American,74
,American,52
Frontcourt,American,78
Frontcourt,American,72
,American,80
,American,34
,German,32
,American,89
Frontcourt,American,67
,American-Spanish,59
,American,25
Frontcourt,American,32
,Bahamian,33
Backcourt,American,29
,Cameroonian-American,31
,American,35
,American,33
,American,27
Frontcourt,American,30
,Canadian,30
,American,24
,British,28
Backcourt,American,29
Frontcourt,French,21
,American,35
,American,27
,American,37
Frontcourt,Greek and Nigerian,31
Backcourt,American,37
Frontcourt,Dominican,39
,American-Chinese,33
,American,37
Backcourt,American-Venezuelan,53
Backcourt,American,35
Backcourt,American,37
,American,75
,American,66
,American,56
Frontcourt,American,80
Frontcourt,American,56
Frontcourt,American,33
,American,41
,American,52
,American,36
Backcourt,American,66
Backcourt,American,64
,American,74
,Nigerian-American,30
Backcourt,American,65
Frontcourt,American,57
Backcourt,American,49
,American,90
Backcourt,American,60
Frontcourt,American,50
Frontcourt,American,61
,American,51
Frontcourt,American,88
Frontcourt,American,58
Frontcourt,Dutch,59
Backcourt,American,24
Frontcourt,American,76
Frontcourt,Canadian,74
Backcourt,Greek-American,36
Backcourt,,73
Frontcourt,American,53
Frontcourt,American,37
Frontcourt,American,54
,American,50
,American,75
,American,61
Backcourt,American,56
,American,53
,American,59
,American,28
Backcourt,American,37
Frontcourt,Slovenian,41
,American,27
Frontcourt,American,39
Frontcourt,American,60
Frontcourt,American,57
Frontcourt,American,81
Backcourt,American,44
Frontcourt,Croatian,58
,American,66
Frontcourt,Greek,35
,American,66
,American,23
,American,29
Backcourt,American,30
,American,45
,American,37
,American,61
Frontcourt,American,74
,American,52
Frontcourt,American,78
Frontcourt,American,72
,American,80
,American,34
,German,32
,American,89
Frontcourt,American,67
,American-Spanish,59
,American,25
Frontcourt,American,32
,Bahamian,33
Backcourt,American,29
,Cameroonian-American,31
,American,35
,American,33
,American,27
Frontcourt,American,30
,Canadian,30
,American,24
,British,28
Backcourt,American,29
Frontcourt,French,21
,American,35
,American,27
,American,37
Frontcourt,Greek and Nigerian,31
Backcourt,American,37
Frontcourt,Dominican,39
,American-Chinese,33
,American,37
Backcourt,American-Venezuelan,53
Backcourt,American,35
Backcourt,American,37
,American,75
,American,66
,American,56
Frontcourt,American,80
Frontcourt,American,56
Frontcourt,American,33
,American,41
,American,52
,American,36
Backcourt,American,66
Backcourt,American,64
,American,74
,Nigerian-American,30
Backcourt,American,65
Frontcourt,American,57
Backcourt,American,49
,American,90
Backcourt,American,60
Frontcourt,American,50
Frontcourt,American,61
,American,51
Frontcourt,American,88
Frontcourt,American,58
Frontcourt,Dutch,59
Backcourt,American,24
Frontcourt,American,76
Frontcourt,Canadian,74
Backcourt,Greek-American,36
Backcourt,,73
Frontcourt,American,53
Frontcourt,American,37
Frontcourt,American,54
,American,50
,American,75
,American,61
Backcourt,American,56
,American,53
,American,59
,American,28
Backcourt,American,37
Frontcourt,Slovenian,41
,American,27
Frontcourt,American,39
Frontcourt,American,60
Frontcourt,American,57
Frontcourt,American,81
Backcourt,American,44
Frontcourt,Croatian,58
,American,66
Frontcourt,Greek,35
,American,66
,American,23
,American,29
Backcourt,American,30
,American,45
,American,37
,American,61
Frontcourt,American,74
,American,52
Frontcourt,American,78
Frontcourt,American,72
,American,80
,American,34
,German,32
,American,89
Frontcourt,American,67
,American-Spanish,59
,American,25
Frontcourt,American,32
,Bahamian,33
,American,29
,Cameroonian-American,31
,American,35
,American,33
,American,27
Frontcourt,American,30
,Canadian,30
,American,24
,British,28
Backcourt,American,29
Frontcourt,French,21
,American,35
,American,27
,American,37
Frontcourt,Greek and Nigerian,31
Backcourt,American,37
Frontcourt,Dominican,39
,American-Chinese,33
,American,37
Backcourt,American-Venezuelan,53
Backcourt,American,35
Backcourt,American,37
,American,75
,American,66
,American,56
Frontcourt,American,80
Frontcourt,American,56
Frontcourt,American,33
,American,41
,American,52
,American,36
Backcourt,American,66
Backcourt,American,64
,American,74
,Nigerian-American,30
Backcourt,American,65
Frontcourt,American,57
Backcourt,American,49
,American,90
Backcourt,American,60
Frontcourt,American,50
Frontcourt,American,61
,American,51
Frontcourt,American,88
Frontcourt,American,58
Frontcourt,Dutch,59
Backcourt,American,24
Frontcourt,American,76
Frontcourt,Canadian,74
Backcourt,Greek-American,36
Backcourt,,73
Frontcourt,American,53
Frontcourt,American,37
Frontcourt,American,54
,American,50
,American,75
,American,61
Backcourt,American,56
,American,53
,American,59
,American,28
Backcourt,American,37
Frontcourt,Slovenian,41
,American,27
Frontcourt,American,39
Frontcourt,American,60
Frontcourt,American,57
Frontcourt,American,81
Backcourt,American,44
Frontcourt,Croatian,58
,American,66
Frontcourt,Greek,35
,American,66
,American,23
,American,29
Backcourt,American,30
,American,45
,American,37
,American,61
Frontcourt,American,74
,American,52
Frontcourt,American,78
Frontcourt,American,72
,American,80
,American,34
,German,32
,American,89
Frontcourt,American,67
,American-Spanish,59
,American,25
Frontcourt,American,32
,Bahamian,33
,American,29
,Cameroonian-American,31
,American,35
,American,33
,American,27
Frontcourt,American,30
,Canadian,30
,American,24
,British,28
Backcourt,American,29
Frontcourt,French,21
,American,35
,American,27
,American,37
Frontcourt,Greek and Nigerian,31
Backcourt,American,37
Frontcourt,Dominican,39
,American-Chinese,33
,American,37
Backcourt,American-Venezuelan,53
Backcourt,American,35
Backcourt,American,37
,American,75
,American,66
,American,56
Frontcourt,American,80
Frontcourt,American,56
Frontcourt,American,33
,American,41
,American,52
,American,36
Backcourt,American,66
Backcourt,American,64
,American,74
,Nigerian-American,30
Backcourt,American,65
Frontcourt,American,57
Backcourt,American,49
,American,90
Backcourt,American,60
Frontcourt,American,50
Frontcourt,American,61
,American,51
Frontcourt,American,88
Frontcourt,American,58
Frontcourt,Dutch,59
Backcourt,American,24
Frontcourt,American,76
Frontcourt,Canadian,74
Backcourt,Greek-American,36
Backcourt,,73
Frontcourt,American,53
Frontcourt,American,37
Frontcourt,American,54
,American,50
,American,75
,American,61
Backcourt,American,56
,American,53
,American,59
,American,28
Backcourt,American,37
Frontcourt,Slovenian,41
,American,27
Frontcourt,American,39
Frontcourt,American,60
Frontcourt,American,57
Frontcourt,American,81
Backcourt,American,44
Frontcourt,Croatian,58
,American,66
Frontcourt,Greek,35
,American,66
,American,23
,American,29
Backcourt,American,30
,American,45
,American,37
,American,61
Frontcourt,American,74
,American,52
Frontcourt,American,78
Frontcourt,American,72
,American,80
,American,34
,German,32
,American,89
Frontcourt,American,67
,American-Spanish,59
,American,25
Frontcourt,American,32
,Bahamian,33
,American,29
,Cameroonian-American,31
,American,35
,American,33
,American,27
Frontcourt,American,30
,Canadian,30
,American,24
,British,28
Backcourt,American,29
Frontcourt,French,21
,American,35
,American,27
,American,37
Frontcourt,Greek and Nigerian,31
Backcourt,American,37
Frontcourt,Dominican,39
,American-Chinese,33
,American,37
Backcourt,American-Venezuelan,53
Backcourt,American,35
Backcourt,American,37
,American,75
,American,66
,American,56
Frontcourt,American,80
Frontcourt,American,56
Frontcourt,American,33
,American,41
,American,52
,American,36
Backcourt,American,66
Backcourt,American,64
,American,74
,Nigerian-American,30
Backcourt,American,65
Frontcourt,American,57
Backcourt,American,49
,American,90
Backcourt,American,60
Frontcourt,American,50
Frontcourt,American,61
,American,51
Frontcourt,American,88
Frontcourt,American,58
Frontcourt,Dutch,59
Backcourt,American,24
Frontcourt,American,76
Frontcourt,Canadian,74
Backcourt,Greek-American,36
Backcourt,,73
Frontcourt,American,53
Frontcourt,American,37
Frontcourt,American,54
,American,50
,American,75
,American,61
Backcourt,American,56
,American,53
,American,59
,American,28
Backcourt,American,37
Frontcourt,Slovenian,41
,American,27
Frontcourt,American,39
Frontcourt,American,60
Frontcourt,American,57
Frontcourt,American,81
Backcourt,American,44
Frontcourt,Croatian,58
,American,66
Frontcourt,Greek,35
,American,66
,American,23
,American,29
Backcourt,American,30
,American,45
,American,37
,American,61
Frontcourt,American,74
,American,52
Frontcourt,American,78
Frontcourt,American,72
,American,80
,American,34
,German,32
,American,89
Frontcourt,American,67
,American-Spanish,59
,American,25
Frontcourt,American,32
,Bahamian,33
,American,29
,Cameroonian-American,31
,American,35
,American,33
,American,27
Frontcourt,American,30
,Canadian,30
,American,24
,British,28
Backcourt,American,29
Frontcourt,French,21
,American,35
,American,27
,American,37
Frontcourt,Greek and Nigerian,31
Backcourt,American,37
Frontcourt,Dominican,39
,American-Chinese,33
,American,37
Backcourt,American-Venezuelan,53
Backcourt,American,35
Backcourt,American,37
,American,75
,American,66
,American,56
Frontcourt,American,80
Frontcourt,American,56
Frontcourt,American,33
,American,41
,American,52
,American,36
Backcourt,American,66
Backcourt,American,64
,American,74
,Nigerian-American,30
Backcourt,American,65
Frontcourt,American,57
Backcourt,American,49
,American,90
Backcourt,American,60
Frontcourt,American,50
Frontcourt,American,61
,American,51
Frontcourt,American,88
Frontcourt,American,58
Frontcourt,Dutch,59
Backcourt,American,24
Frontcourt,American,76
Frontcourt,Canadian,74
Backcourt,Greek-American,36
Backcourt,,73
Frontcourt,American,53
Frontcourt,American,37
Frontcourt,American,54
,American,50
,American,75
,American,61
Backcourt,American,56
,American,53
,American,59
,American,28
Backcourt,American,37
Frontcourt,Slovenian,41
,American,27
Frontcourt,American,39
Frontcourt,American,60
Frontcourt,American,57
Frontcourt,American,81
Backcourt,American,44
Frontcourt,Croatian,58
,American,66
Frontcourt,Greek,35
,American,66
,American,23
,American,29
Backcourt,American,30
,American,45
,American,37
,American,61
Frontcourt,American,74
,American,52
Frontcourt,American,78
Frontcourt,American,72
,American,80
,American,34
,German,32
,American,89
Frontcourt,American,67
,American-Spanish,59
,American,25
Frontcourt,American,32
,Bahamian,33
,American,29
,Cameroonian-American,31
,American,35
,American,33
,American,27
Frontcourt,American,30
,Canadian,30
,American,24
,British,28
Backcourt,American,29
Frontcourt,French,21
,American,35
,American,27
,American,37
Frontcourt,Greek and Nigerian,31
Backcourt,American,37
Frontcourt,Dominican,39
,American-Chinese,33
,American,37
Backcourt,American-Venezuelan,53
Backcourt,American,35
Backcourt,American,37
,American,75
,American,66
,American,56
Frontcourt,American,80
Frontcourt,American,56
Frontcourt,American,33
,American,41
,American,52
,American,36
Backcourt,American,66
Backcourt,American,64
,American,74
,Nigerian-American,30
Backcourt,American,65
Frontcourt,American,57
Backcourt,American,49
,American,90
Backcourt,American,60
Frontcourt,American,50
Frontcourt,American,61
,American,51
Frontcourt,American,88
Frontcourt,American,58
Frontcourt,Dutch,59
Backcourt,American,24
Frontcourt,American,76
Frontcourt,Canadian,74
Backcourt,Greek-American,36
Backcourt,,73
Frontcourt,American,53
Frontcourt,American,37
Frontcourt,American,54
,American,50
,American,75
,American,61
Backcourt,American,56
,American,53
,American,59
,American,28
Backcourt,American,37
Frontcourt,Slovenian,41
,American,27
Frontcourt,American,39
Frontcourt,American,60
Frontcourt,American,57
Frontcourt,American,81
Backcourt,American,44
Frontcourt,Croatian,58
,American,66
Frontcourt,Greek,35
,American,66
,American,23
,American,29
Backcourt,American,30
,American,45
,American,37
,American,61
Frontcourt,American,74
,American,52
Frontcourt,American,78
Frontcourt,American,72
,American,80
,American,34
,German,32
,American,89
Frontcourt,American,67
,American-Spanish,59
,American,25
Frontcourt,American,32
,Bahamian,33
,American,29
,Cameroonian-American,31
,American,35
,American,33
,American,27
Frontcourt,American,30
,Canadian,30
,American,24
,British,28
Backcourt,American,29
Frontcourt,French,21
,American,35
,American,27
,American,37
Frontcourt,Greek and Nigerian,31
Backcourt,American,37
Frontcourt,Dominican,39
,American-Chinese,33
,American,37
Backcourt,American-Venezuelan,53
Backcourt,American,35
Backcourt,American,37
,American,75
,American,66
,American,56
Frontcourt,American,80
Frontcourt,American,56
Frontcourt,American,33
,American,41
,American,52
,American,36
Backcourt,American,66
Backcourt,American,64
,American,74
,Nigerian-American,30
Backcourt,American,65
Frontcourt,American,57
Backcourt,American,49
,American,90
Backcourt,American,60
Frontcourt,American,50
Frontcourt,American,61
,American,51
Frontcourt,American,88
Frontcourt,American,58
Frontcourt,Dutch,59
Backcourt,American,24
Frontcourt,American,76
Frontcourt,Canadian,74
Backcourt,Greek-American,36
Backcourt,,73
Frontcourt,American,53
Frontcourt,American,37
Frontcourt,American,54
,American,50
,American,75
,American,61
Backcourt,American,56
,American,53
,American,59
,American,28
Backcourt,American,37
Frontcourt,Slovenian,41
,American,27
Frontcourt,American,39
Frontcourt,American,60
Frontcourt,American,57
Frontcourt,American,81
Backcourt,American,44
Frontcourt,Croatian,58
,American,66
Frontcourt,Greek,35
,American,66
,American,23
,American,29
Backcourt,American,30
,American,45
,American,37
,American,61
Frontcourt,American,74
,American,52
Frontcourt,American,78
Frontcourt,American,72
,American,80
,American,34
,German,32
,American,89
Frontcourt,American,67
,American-Spanish,59
,American,25
Frontcourt,American,32
,Bahamian,33
,American,29
,Cameroonian-American,31
,American,35
,American,33
,American,27
Frontcourt,American,30
,Canadian,30
,American,24
,British,28
Backcourt,American,29
Frontcourt,French,21
,American,35
,American,27
,American,37
Frontcourt,Greek and Nigerian,31
Backcourt,American,37
Frontcourt,Dominican,39
,American-Chinese,33
,American,37
Backcourt,American-Venezuelan,53
Backcourt,American,35
Backcourt,American,37
,American,75
,American,66
,American,56
Frontcourt,American,80
Frontcourt,American,56
Frontcourt,American,33
,American,41
,American,52
,American,36
Backcourt,American,66
Backcourt,American,64
,American,74
,Nigerian-American,30
Backcourt,American,65
Frontcourt,American,57
Backcourt,American,49
,American,90
Backcourt,American,60
Frontcourt,American,50
Frontcourt,American,61
,American,51
Frontcourt,American,88
Frontcourt,American,58
Frontcourt,Dutch,59
Backcourt,American,24
Frontcourt,American,76
Frontcourt,Canadian,74
Backcourt,Greek-American,36
Backcourt,,73
Frontcourt,American,53
Frontcourt,American,37
Frontcourt,American,54
,American,50
,American,75
,American,61
Backcourt,American,56
,American,53
,American,59
,American,28
Backcourt,American,37
Frontcourt,Slovenian,41
,American,27
Frontcourt,American,39
Frontcourt,American,60
Frontcourt,American,57
Frontcourt,American,81
Backcourt,American,44
Frontcourt,Croatian,58
,American,66
Frontcourt,Greek,35
,American,66
,American,23
,American,29
Backcourt,American,30
,American,45
,American,37
,American,61
Frontcourt,American,74
,American,52
Frontcourt,American,78
Frontcourt,American,72
,American,80
,American,34
,German,32
,American,89
Frontcourt,American,67
,American-Spanish,59
,American,25
Frontcourt,American,32
,Bahamian,33
,American,29
,Cameroonian-American,31
,American,35
,American,33
,American,27
Frontcourt,American,30
,Canadian,30
,American,24
,British,28
Backcourt,American,29
Frontcourt,French,21
,American,35
,American,27
,American,37
Frontcourt,Greek and Nigerian,31
Backcourt,American,37
Frontcourt,Dominican,39
,American-Chinese,33
,American,37
Backcourt,American-Venezuelan,53
Backcourt,American,35
Backcourt,American,37
,American,75
,American,66
,American,56
Frontcourt,American,80
Frontcourt,American,56
Frontcourt,American,33
,American,41
,American,52
,American,36
Backcourt,American,66
Backcourt,American,64
,American,74
,Nigerian-American,30
Backcourt,American,65
Frontcourt,American,57
Backcourt,American,49
,American,90
Backcourt,American,60
Frontcourt,American,50
Frontcourt,American,61
,American,51
Frontcourt,American,88
Frontcourt,American,58
Frontcourt,Dutch,59
Backcourt,American,24
Frontcourt,American,76
Frontcourt,Canadian,74
Backcourt,Greek-American,36
Backcourt,,73
Frontcourt,American,53
Frontcourt,American,37
Frontcourt,American,54
,American,50
,American,75
,American,61
Backcourt,American,56
,American,53
,American,59
,American,28
Backcourt,American,37
Frontcourt,Slovenian,41
,American,27
Frontcourt,American,39
Frontcourt,American,60
Frontcourt,American,57
Frontcourt,American,81
Backcourt,American,44
Frontcourt,Croatian,58
,American,66
Frontcourt,Greek,35
,American,66
,American,23
,American,29
Backcourt,American,30
,American,45
,American,37
,American,61
Frontcourt,American,74
,American,52
Frontcourt,American,78
Frontcourt,American,72
,American,80
,American,34
,German,32
,American,89
Frontcourt,American,67
,American-Spanish,59
,American,25
Frontcourt,American,32
,Bahamian,33
,American,29
,Cameroonian-American,31
,American,35
,American,33
,American,27
Frontcourt,American,30
,Canadian,30
,American,24
,British,28
Backcourt,American,29
Frontcourt,French,21
,American,35
,American,27
,American,37
Frontcourt,Greek and Nigerian,31
Backcourt,American,37
Frontcourt,Dominican,39
,American-Chinese,33
,American,37
Backcourt,American-Venezuelan,53
Backcourt,American,35
Backcourt,American,37
,American,75
,American,66
,American,56
Frontcourt,American,80
Frontcourt,American,56
Frontcourt,American,33
,American,41
,American,52
,American,36
Backcourt,American,66
Backcourt,American,64
,American,74
,Nigerian-American,30
Backcourt,American,65
Frontcourt,American,57
Backcourt,American,49
,American,90
Backcourt,American,60
Frontcourt,American,50
Frontcourt,American,61
,American,51
Frontcourt,American,88
Frontcourt,American,58
Frontcourt,Dutch,59
Backcourt,American,24
Frontcourt,American,76
Frontcourt,Canadian,74
Backcourt,Greek-American,36
Backcourt,,73
Frontcourt,American,53
Frontcourt,American,37
Frontcourt,American,54
,American,50
,American,75
,American,61
Backcourt,American,56
,American,53
,American,59
,American,28
Backcourt,American,37
Frontcourt,Slovenian,41
,American,27
Frontcourt,American,39
Frontcourt,American,60
Frontcourt,American,57
Frontcourt,American,81
Backcourt,American,44
Frontcourt,Croatian,58
,American,66
Frontcourt,Greek,35
,American,66
,American,23
,American,29
Backcourt,American,30
,American,45
,American,37
,American,61
Frontcourt,American,74
,American,52
Frontcourt,American,78
Frontcourt,American,72
,American,80
,American,34
,German,32
,American,89
Frontcourt,American,67
,American-Spanish,59
,American,25
Frontcourt,American,32
,Bahamian,33
,American,29
,Cameroonian-American,31
,American,35
,American,33
,American,27
Frontcourt,American,30
,Canadian,30
,American,24
,British,28
Backcourt,American,29
Frontcourt,French,21
,American,35
,American,27
,American,37
Frontcourt,Greek and Nigerian,31
Backcourt,American,37
Frontcourt,Dominican,39
,American-Chinese,33
,American,37
Backcourt,American-Venezuelan,53
Backcourt,American,35
Backcourt,American,37
,American,75
,American,66
,American,56
Frontcourt,American,80
Frontcourt,American,56
Frontcourt,American,33
,American,41
,American,52
,American,36
Backcourt,American,66
Backcourt,American,64
,American,74
,Nigerian-American,30
Backcourt,American,65
Frontcourt,American,57
Backcourt,American,49
,American,90
Backcourt,American,60
Frontcourt,American,50
Frontcourt,American,61
,American,51
Frontcourt,American,88
Frontcourt,American,58
Frontcourt,Dutch,59
Backcourt,American,24
Frontcourt,American,76
Frontcourt,Canadian,74
Backcourt,Greek-American,36
Backcourt,,73
Frontcourt,American,53
Frontcourt,American,37
Frontcourt,American,54
,American,50
,American,75
,American,61
Backcourt,American,56
,American,53
,American,59
,American,28
Backcourt,American,37
Frontcourt,Slovenian,41
,American,27
Frontcourt,American,39
Frontcourt,American,60
Frontcourt,American,57
Frontcourt,American,81
Backcourt,American,44
Frontcourt,Croatian,58
,American,66
Frontcourt,Greek,35
,American,66
,American,23
,American,29
Backcourt,American,30
,American,45
,American,37
,American,61
Frontcourt,American,74
,American,52
Frontcourt,American,78
Frontcourt,American,72
,American,80
,American,34
,German,32
,American,89
Frontcourt,American,67
,American-Spanish,59
,American,25
Frontcourt,American,32
,Bahamian,33
,American,29
,Cameroonian-American,31
,American,35
,American,33
,American,27
Frontcourt,American,30
,Canadian,30
,American,24
,British,28
Backcourt,American,29
Frontcourt,French,21
,American,35
,American,27
,American,37
Frontcourt,Greek and Nigerian,31
Backcourt,American,37
Frontcourt,Dominican,39
,American-Chinese,33
,American,37
Backcourt,American-Venezuelan,53
Backcourt,American,35
Backcourt,American,37
,American,40
,Cameroonian-American,31
,American,27
,American,30
,American,29
,American,32
,Bahamian,33
,American,37
null,American,40
null,American,36
Frontcourt,American,53
Backcourt,American,47
